id,label
27456,0
27457,25
27458,25
27459,0
27460,25
27461,25
27462,25
27463,0
27464,25
27465,25
27466,25
27467,25
27468,25
27469,25
27470,25
27471,0
27472,25
27473,0
27474,0
27475,0
27476,0
27477,25
27478,25
27479,0
27480,25
27481,25
27482,25
27483,25
27484,0
27485,25
27486,0
27487,0
27488,0
27489,0
27490,25
27491,25
27492,0
27493,25
27494,25
27495,0
27496,25
27497,25
27498,25
27499,25
27500,0
27501,25
27502,25
27503,0
27504,25
27505,25
27506,25
27507,25
27508,25
27509,0
27510,0
27511,25
27512,25
27513,0
27514,25
27515,25
27516,25
27517,25
27518,0
27519,25
27520,0
27521,25
27522,25
27523,0
27524,0
27525,0
27526,25
27527,0
27528,25
27529,0
27530,25
27531,25
27532,25
27533,0
27534,0
27535,0
27536,25
27537,0
27538,0
27539,25
27540,0
27541,25
27542,0
27543,25
27544,25
27545,0
27546,0
27547,0
27548,25
27549,0
27550,0
27551,25
27552,25
27553,0
27554,0
27555,25
27556,25
27557,0
27558,0
27559,25
27560,25
27561,0
27562,25
27563,0
27564,25
27565,0
27566,0
27567,25
27568,25
27569,25
27570,0
27571,25
27572,25
27573,25
27574,25
27575,25
27576,0
27577,25
27578,25
27579,0
27580,25
27581,25
27582,0
27583,25
27584,25
27585,25
27586,25
27587,0
27588,0
27589,25
27590,25
27591,25
27592,0
27593,25
27594,25
27595,25
27596,25
27597,0
27598,25
27599,25
27600,25
27601,25
27602,25
27603,25
27604,25
27605,25
27606,0
27607,0
27608,25
27609,0
27610,0
27611,25
27612,0
27613,25
27614,25
27615,0
27616,0
27617,0
27618,0
27619,25
27620,0
27621,25
27622,25
27623,0
27624,25
27625,25
27626,25
27627,0
27628,0
27629,25
27630,25
27631,25
27632,0
27633,25
27634,25
27635,0
27636,0
27637,25
27638,25
27639,25
27640,0
27641,0
27642,25
27643,0
27644,0
27645,25
27646,25
27647,0
27648,0
27649,25
27650,0
27651,25
27652,25
27653,0
27654,0
27655,0
27656,25
27657,25
27658,25
27659,25
27660,25
27661,0
27662,25
27663,25
27664,25
27665,0
27666,25
27667,0
27668,0
27669,25
27670,25
27671,0
27672,25
27673,25
27674,25
27675,25
27676,0
27677,25
27678,25
27679,25
27680,25
27681,0
27682,0
27683,25
27684,0
27685,25
27686,25
27687,25
27688,0
27689,25
27690,25
27691,25
27692,25
27693,25
27694,25
27695,25
27696,25
27697,25
27698,0
27699,25
27700,25
27701,25
27702,25
27703,0
27704,25
27705,25
27706,25
27707,0
27708,25
27709,25
27710,25
27711,0
27712,25
27713,0
27714,0
27715,25
27716,0
27717,0
27718,25
27719,25
27720,25
27721,25
27722,0
27723,25
27724,0
27725,0
27726,25
27727,25
27728,25
27729,25
27730,25
27731,0
27732,25
27733,0
27734,25
27735,0
27736,25
27737,0
27738,0
27739,25
27740,25
27741,0
27742,0
27743,25
27744,25
27745,25
27746,0
27747,0
27748,25
27749,25
27750,25
27751,25
27752,25
27753,25
27754,25
27755,25
27756,25
27757,0
27758,0
27759,0
27760,0
27761,0
27762,0
27763,25
27764,25
27765,0
27766,25
27767,0
27768,0
27769,25
27770,25
27771,0
27772,0
27773,25
27774,0
27775,25
27776,25
27777,0
27778,0
27779,0
27780,25
27781,25
27782,25
27783,0
27784,0
27785,25
27786,25
27787,25
27788,0
27789,25
27790,25
27791,25
27792,0
27793,25
27794,0
27795,25
27796,25
27797,0
27798,25
27799,25
27800,25
27801,25
27802,0
27803,25
27804,25
27805,0
27806,25
27807,25
27808,0
27809,25
27810,0
27811,25
27812,25
27813,0
27814,0
27815,25
27816,25
27817,25
27818,25
27819,25
27820,0
27821,25
27822,0
27823,25
27824,0
27825,25
27826,0
27827,25
27828,25
27829,25
27830,0
27831,25
27832,25
27833,25
27834,25
27835,25
27836,25
27837,0
27838,25
27839,25
27840,25
27841,0
27842,25
27843,25
27844,25
27845,25
27846,0
27847,25
27848,25
27849,0
27850,0
27851,0
27852,25
27853,25
27854,25
27855,0
27856,25
27857,25
27858,25
27859,0
27860,25
27861,0
27862,0
27863,0
27864,0
27865,0
27866,25
27867,25
27868,25
27869,0
27870,25
27871,25
27872,0
27873,0
27874,25
27875,25
27876,0
27877,0
27878,25
27879,25
27880,25
27881,25
27882,0
27883,25
27884,25
27885,0
27886,25
27887,25
27888,25
27889,0
27890,0
27891,25
27892,25
27893,25
27894,25
27895,25
27896,25
27897,25
27898,25
27899,25
27900,25
27901,25
27902,25
27903,25
27904,0
27905,25
27906,25
27907,25
27908,0
27909,25
27910,25
