id,label
27456,6
27457,21
27458,10
27459,0
27460,3
27461,22
27462,10
27463,14
27464,3
27465,7
27466,8
27467,8
27468,22
27469,12
27470,19
27471,4
27472,22
27473,0
27474,7
27475,7
27476,2
27477,0
27478,22
27479,4
27480,10
27481,16
27482,14
27483,16
27484,7
27485,1
27486,7
27487,8
27488,13
27489,19
27490,22
27491,21
27492,0
27493,17
27494,18
27495,14
27496,15
27497,23
27498,8
27499,15
27500,14
27501,5
27502,20
27503,4
27504,6
27505,12
27506,17
27507,22
27508,10
27509,14
27510,10
27511,16
27512,22
27513,4
27514,6
27515,21
27516,17
27517,18
27518,11
27519,22
27520,2
27521,17
27522,1
27523,4
27524,4
27525,4
27526,20
27527,6
27528,1
27529,4
27530,3
27531,20
27532,16
27533,11
27534,2
27535,14
27536,17
27537,14
27538,12
27539,21
27540,23
27541,7
27542,12
27543,21
27544,22
27545,4
27546,2
27547,1
27548,7
27549,19
27550,8
27551,5
27552,0
27553,0
27554,19
27555,22
27556,8
27557,4
27558,2
27559,17
27560,16
27561,1
27562,15
27563,4
27564,14
27565,6
27566,4
27567,5
27568,0
27569,24
27570,2
27571,7
27572,16
27573,24
27574,18
27575,16
27576,4
27577,8
27578,8
27579,14
27580,4
27581,8
27582,6
27583,22
27584,18
27585,8
27586,11
27587,21
27588,2
27589,15
27590,23
27591,23
27592,4
27593,22
27594,20
27595,3
27596,15
27597,4
27598,7
27599,20
27600,21
27601,6
27602,1
27603,6
27604,10
27605,5
27606,4
27607,5
27608,22
27609,5
27610,4
27611,22
27612,2
27613,10
27614,7
27615,5
27616,14
27617,5
27618,8
27619,18
27620,18
27621,23
27622,18
27623,17
27624,19
27625,8
27626,14
27627,15
27628,4
27629,15
27630,3
27631,17
27632,18
27633,17
27634,22
27635,1
27636,13
27637,16
27638,24
27639,23
27640,2
27641,7
27642,21
27643,24
27644,1
27645,12
27646,23
27647,17
27648,0
27649,15
27650,0
27651,16
27652,20
27653,5
27654,11
27655,1
27656,7
27657,6
27658,8
27659,10
27660,18
27661,0
27662,17
27663,23
27664,17
27665,14
27666,3
27667,7
27668,14
27669,13
27670,18
27671,6
27672,3
27673,16
27674,4
27675,22
27676,4
27677,15
27678,5
27679,6
27680,20
27681,1
27682,2
27683,8
27684,21
27685,18
27686,18
27687,6
27688,5
27689,14
27690,5
27691,1
27692,20
27693,16
27694,18
27695,24
27696,10
27697,19
27698,8
27699,16
27700,17
27701,1
27702,15
27703,4
27704,10
27705,22
27706,16
27707,1
27708,24
27709,18
27710,24
27711,1
27712,22
27713,19
27714,4
27715,23
27716,10
27717,12
27718,3
27719,13
27720,16
27721,8
27722,8
27723,17
27724,14
27725,6
27726,17
27727,17
27728,20
27729,24
27730,7
27731,4
27732,17
27733,6
27734,0
27735,16
27736,20
27737,14
27738,6
27739,19
27740,6
27741,14
27742,4
27743,18
27744,16
27745,10
27746,6
27747,1
27748,8
27749,1
27750,20
27751,14
27752,22
27753,18
27754,15
27755,22
27756,19
27757,13
27758,2
27759,18
27760,1
27761,4
27762,4
27763,8
27764,22
27765,0
27766,0
27767,0
27768,21
27769,17
27770,22
27771,10
27772,2
27773,23
27774,14
27775,3
27776,15
27777,22
27778,14
27779,5
27780,5
27781,21
27782,20
27783,14
27784,21
27785,18
27786,7
27787,3
27788,21
27789,7
27790,10
27791,8
27792,4
27793,3
27794,18
27795,17
27796,21
27797,4
27798,1
27799,22
27800,3
27801,17
27802,4
27803,15
27804,19
27805,4
27806,1
27807,24
27808,14
27809,8
27810,4
27811,17
27812,6
27813,1
27814,4
27815,23
27816,24
27817,16
27818,4
27819,20
27820,1
27821,6
27822,21
27823,23
27824,11
27825,23
27826,14
27827,16
27828,3
27829,23
27830,14
27831,24
27832,7
27833,15
27834,3
27835,21
27836,13
27837,7
27838,21
27839,18
27840,13
27841,0
27842,23
27843,21
27844,5
27845,10
27846,4
27847,3
27848,17
27849,14
27850,6
27851,8
27852,23
27853,21
27854,7
27855,12
27856,22
27857,0
27858,7
27859,4
27860,17
27861,4
27862,4
27863,1
27864,11
27865,14
27866,20
27867,16
27868,3
27869,4
27870,8
27871,11
27872,1
27873,10
27874,22
27875,7
27876,11
27877,1
27878,7
27879,16
27880,8
27881,16
27882,0
27883,7
27884,17
27885,7
27886,22
27887,7
27888,1
27889,5
27890,14
27891,21
27892,14
27893,18
27894,1
27895,15
27896,22
27897,19
27898,22
27899,15
27900,21
27901,13
27902,5
27903,22
27904,1
27905,4
27906,18
27907,24
27908,4
27909,7
27910,22
27911,13
27912,6
27913,16
27914,18
27915,11
27916,19
27917,22
27918,17
27919,4
27920,0
27921,4
27922,1
27923,6
27924,17
27925,17
27926,15
27927,12
27928,0
27929,20
27930,16
27931,17
27932,21
27933,2
27934,2
27935,19
27936,4
27937,23
27938,5
27939,2
27940,6
27941,0
27942,15
27943,1
27944,21
27945,19
27946,1
27947,4
27948,0
27949,16
27950,22
27951,19
27952,24
27953,22
27954,24
27955,7
27956,1
27957,13
27958,22
27959,7
27960,12
27961,14
27962,14
27963,1
27964,24
27965,1
27966,1
27967,8
27968,22
27969,10
27970,21
27971,14
27972,16
27973,22
27974,18
27975,16
27976,0
27977,4
27978,16
27979,4
27980,18
27981,23
27982,5
27983,8
27984,6
27985,22
27986,20
27987,22
27988,15
27989,4
27990,14
27991,19
27992,16
27993,4
27994,23
27995,3
27996,11
27997,11
27998,2
27999,0
28000,6
28001,15
28002,18
28003,23
28004,21
28005,8
28006,14
28007,2
28008,10
28009,16
28010,17
28011,6
28012,2
28013,4
28014,17
28015,11
28016,5
28017,19
28018,4
28019,4
28020,15
28021,17
28022,10
28023,4
28024,6
28025,16
28026,13
28027,17
28028,17
28029,0
28030,7
28031,16
28032,12
28033,4
28034,15
28035,8
28036,1
28037,6
28038,22
28039,20
28040,16
28041,17
28042,22
28043,7
28044,23
28045,8
28046,8
28047,2
28048,2
28049,11
28050,2
28051,18
28052,16
28053,4
28054,22
28055,0
28056,6
28057,0
28058,23
28059,4
28060,6
28061,13
28062,4
28063,17
28064,7
28065,1
28066,19
28067,21
28068,7
28069,6
28070,15
28071,21
28072,14
28073,17
28074,15
28075,0
28076,11
28077,22
28078,12
28079,13
28080,22
28081,4
28082,7
28083,4
28084,18
28085,17
28086,1
28087,16
28088,8
28089,8
28090,16
28091,23
28092,21
28093,16
28094,19
28095,12
28096,21
28097,21
28098,0
28099,22
28100,18
28101,6
28102,13
28103,14
28104,5
28105,10
28106,5
28107,4
28108,14
28109,4
28110,10
28111,7
28112,11
28113,0
28114,17
28115,11
28116,16
28117,7
28118,14
28119,18
28120,5
28121,16
28122,21
28123,11
28124,6
28125,24
28126,4
28127,2
28128,16
28129,4
28130,22
28131,22
28132,17
28133,0
28134,18
28135,4
28136,10
28137,4
28138,19
28139,20
28140,12
28141,11
28142,23
28143,12
28144,6
28145,18
28146,17
28147,10
28148,4
28149,17
28150,5
28151,18
28152,22
28153,3
28154,7
28155,2
28156,1
28157,11
28158,0
28159,4
28160,6
28161,1
28162,15
28163,4
28164,15
28165,5
28166,3
28167,5
28168,24
28169,4
28170,21
28171,21
28172,17
28173,15
28174,18
28175,20
28176,18
28177,22
28178,23
28179,7
28180,4
28181,15
28182,12
28183,6
28184,24
28185,23
28186,7
28187,23
28188,15
28189,1
28190,4
28191,15
28192,14
28193,13
28194,0
28195,19
28196,6
28197,1
28198,21
28199,10
28200,7
28201,10
28202,17
28203,1
28204,6
28205,22
28206,20
28207,12
28208,23
28209,23
28210,2
28211,15
28212,17
28213,6
28214,6
28215,3
28216,0
28217,18
28218,17
28219,24
28220,5
28221,4
28222,4
28223,15
28224,19
28225,4
28226,8
28227,13
28228,17
28229,11
28230,1
28231,19
28232,17
28233,19
28234,1
28235,10
28236,18
28237,6
28238,1
28239,5
28240,24
28241,17
28242,17
28243,22
28244,7
28245,14
