id,label
27456,6
27457,5
27458,10
27459,0
27460,3
27461,21
27462,10
27463,14
27464,3
27465,7
27466,8
27467,8
27468,22
27469,12
27470,6
27471,4
27472,22
27473,0
27474,7
27475,7
27476,2
27477,0
27478,20
27479,4
27480,24
27481,15
27482,2
27483,16
27484,7
27485,1
27486,7
27487,8
27488,13
27489,19
27490,17
27491,21
27492,0
27493,3
27494,18
27495,14
27496,15
27497,17
27498,8
27499,16
27500,14
27501,5
27502,20
27503,4
27504,23
27505,12
27506,20
27507,22
27508,17
27509,14
27510,15
27511,16
27512,21
27513,4
27514,6
27515,21
27516,10
27517,12
27518,11
27519,22
27520,2
27521,10
27522,1
27523,4
27524,18
27525,4
27526,20
27527,6
27528,24
27529,4
27530,3
27531,20
27532,15
27533,11
27534,2
27535,2
27536,17
27537,2
27538,19
27539,22
27540,23
27541,7
27542,12
27543,21
27544,18
27545,5
27546,2
27547,1
27548,7
27549,19
27550,8
27551,22
27552,0
27553,0
27554,19
27555,21
27556,8
27557,4
27558,2
27559,17
27560,16
27561,1
27562,15
27563,5
27564,2
27565,6
27566,4
27567,5
27568,0
27569,24
27570,2
27571,23
27572,13
27573,24
27574,18
27575,18
27576,4
27577,8
27578,8
27579,12
27580,1
27581,8
27582,6
27583,22
27584,4
27585,20
27586,11
27587,21
27588,2
27589,15
27590,23
27591,23
27592,4
27593,21
27594,22
27595,3
27596,15
27597,18
27598,7
27599,20
27600,21
27601,6
27602,1
27603,6
27604,10
27605,5
27606,4
27607,5
27608,1
27609,5
27610,5
27611,18
27612,2
27613,24
27614,7
27615,5
27616,14
27617,5
27618,8
27619,4
27620,18
27621,23
27622,18
27623,3
27624,19
27625,8
27626,12
27627,16
27628,4
27629,16
27630,3
27631,17
27632,18
27633,23
27634,22
27635,1
27636,13
27637,16
27638,24
27639,23
27640,2
27641,7
27642,8
27643,13
27644,1
27645,12
27646,23
27647,17
27648,0
27649,16
27650,0
27651,16
27652,13
27653,5
27654,2
27655,1
27656,7
27657,6
27658,24
27659,20
27660,18
27661,0
27662,17
27663,23
27664,20
27665,14
27666,3
27667,7
27668,14
27669,13
27670,18
27671,7
27672,3
27673,16
27674,4
27675,20
27676,4
27677,20
27678,5
27679,6
27680,20
27681,1
27682,2
27683,15
27684,21
27685,18
27686,18
27687,6
27688,5
27689,14
27690,5
27691,1
27692,21
27693,8
27694,2
27695,24
27696,10
27697,10
27698,8
27699,18
27700,10
27701,1
27702,24
27703,4
27704,20
27705,22
27706,16
27707,1
27708,24
27709,13
27710,18
27711,1
27712,22
27713,19
27714,4
27715,15
27716,15
27717,12
27718,3
27719,13
27720,16
27721,8
27722,8
27723,20
27724,14
27725,6
27726,10
27727,17
27728,20
27729,24
27730,7
27731,4
27732,17
27733,6
27734,0
27735,16
27736,19
27737,14
27738,6
27739,6
27740,6
27741,14
27742,4
27743,18
27744,20
27745,20
27746,6
27747,1
27748,0
27749,1
27750,20
27751,2
27752,23
27753,13
27754,16
27755,18
27756,20
27757,13
27758,2
27759,18
27760,1
27761,4
27762,4
27763,8
27764,21
27765,0
27766,0
27767,0
27768,21
27769,17
27770,22
27771,15
27772,2
27773,22
27774,14
27775,3
27776,16
27777,20
27778,14
27779,5
27780,5
27781,22
27782,20
27783,14
27784,16
27785,18
27786,7
27787,3
27788,1
27789,7
27790,20
27791,24
27792,4
27793,3
27794,13
27795,19
27796,20
27797,4
27798,1
27799,22
27800,3
27801,17
27802,20
27803,15
27804,6
27805,4
27806,1
27807,24
27808,2
27809,8
27810,4
27811,23
27812,6
27813,1
27814,4
27815,23
27816,24
27817,18
27818,4
27819,20
27820,1
27821,6
27822,22
27823,23
27824,11
27825,23
27826,2
27827,15
27828,3
27829,23
27830,14
27831,24
27832,19
27833,15
27834,10
27835,10
27836,13
27837,7
27838,21
27839,18
27840,13
27841,0
27842,23
27843,21
27844,5
27845,10
27846,4
27847,3
27848,20
27849,14
27850,6
27851,8
27852,23
27853,20
27854,7
27855,12
27856,22
27857,0
27858,7
27859,4
27860,10
27861,4
27862,4
27863,1
27864,11
27865,14
27866,20
27867,16
27868,3
27869,4
27870,0
27871,11
27872,1
27873,20
27874,22
27875,7
27876,2
27877,1
27878,15
27879,18
27880,0
27881,18
27882,0
27883,7
27884,19
27885,7
27886,22
27887,8
27888,1
27889,5
27890,14
27891,21
27892,22
27893,18
27894,1
27895,15
27896,22
27897,6
27898,17
27899,20
27900,23
27901,13
27902,5
27903,22
27904,1
27905,1
27906,18
27907,24
27908,4
27909,18
27910,22
27911,0
27912,6
27913,20
27914,18
27915,11
27916,6
27917,17
27918,17
27919,4
27920,0
27921,4
27922,1
27923,6
27924,19
27925,10
27926,16
27927,12
27928,0
27929,20
27930,16
27931,20
27932,21
27933,2
27934,2
27935,19
27936,12
27937,23
27938,5
27939,2
27940,6
27941,0
27942,15
27943,1
27944,21
27945,13
27946,1
27947,4
27948,0
27949,12
27950,21
27951,24
27952,24
27953,22
27954,24
27955,7
27956,1
27957,13
27958,22
27959,6
27960,12
27961,14
27962,12
27963,1
27964,24
27965,1
27966,1
27967,8
27968,21
27969,20
27970,16
27971,14
27972,16
27973,22
27974,13
27975,8
27976,0
27977,4
27978,18
27979,4
27980,18
27981,23
27982,5
27983,8
27984,6
27985,23
27986,19
27987,22
27988,16
27989,4
27990,14
27991,19
27992,18
27993,4
27994,23
27995,3
27996,11
27997,11
27998,8
27999,0
28000,6
28001,15
28002,18
28003,23
28004,13
28005,8
28006,14
28007,2
28008,16
28009,16
28010,20
28011,6
28012,2
28013,4
28014,7
28015,10
28016,5
28017,19
28018,4
28019,1
28020,16
28021,20
28022,10
28023,4
28024,15
28025,16
28026,13
28027,17
28028,17
28029,0
28030,7
28031,20
28032,12
28033,4
28034,15
28035,8
28036,1
28037,6
28038,22
28039,20
28040,13
28041,20
28042,22
28043,7
28044,23
28045,8
28046,8
28047,2
28048,2
28049,11
28050,2
28051,18
28052,16
28053,4
28054,22
28055,0
28056,6
28057,0
28058,23
28059,4
28060,6
28061,13
28062,4
28063,17
28064,7
28065,1
28066,19
28067,21
28068,7
28069,6
28070,15
28071,8
28072,14
28073,17
28074,15
28075,0
28076,11
28077,22
28078,1
28079,13
28080,22
28081,4
28082,7
28083,13
28084,18
28085,17
28086,1
28087,16
28088,20
28089,8
28090,16
28091,15
28092,19
28093,16
28094,13
28095,7
28096,21
28097,21
28098,0
28099,10
28100,13
28101,6
28102,13
28103,22
28104,5
28105,10
28106,5
28107,12
28108,12
28109,4
28110,10
28111,7
28112,11
28113,13
28114,3
28115,11
28116,18
28117,7
28118,4
28119,18
28120,5
28121,18
28122,21
28123,2
28124,16
28125,12
28126,4
28127,2
28128,8
28129,4
28130,22
28131,10
28132,17
28133,0
28134,2
28135,4
28136,15
28137,4
28138,19
28139,20
28140,12
28141,11
28142,16
28143,1
28144,15
28145,18
28146,19
28147,16
28148,4
28149,17
28150,5
28151,18
28152,22
28153,17
28154,7
28155,2
28156,22
28157,11
28158,0
28159,4
28160,6
28161,24
28162,15
28163,4
28164,15
28165,5
28166,3
28167,5
28168,24
28169,4
28170,8
28171,21
28172,17
28173,15
28174,18
28175,20
28176,18
28177,21
28178,23
28179,7
28180,4
28181,15
28182,12
28183,6
28184,13
28185,23
28186,7
28187,23
28188,15
28189,1
28190,4
28191,15
28192,14
28193,13
28194,0
28195,19
28196,6
28197,1
28198,21
28199,10
28200,7
28201,10
28202,10
28203,1
28204,7
28205,22
28206,20
28207,1
28208,23
28209,23
28210,2
28211,15
28212,17
28213,16
28214,6
28215,3
28216,0
28217,18
28218,17
28219,24
28220,5
28221,4
28222,4
28223,15
28224,19
28225,4
28226,8
28227,13
28228,17
28229,11
28230,1
28231,19
28232,19
28233,6
28234,1
28235,10
28236,18
28237,6
28238,24
28239,5
28240,24
28241,19
28242,3
28243,22
28244,7
28245,14
28246,24
28247,10
28248,0
28249,1
28250,7
28251,4
28252,24
28253,6
28254,22
28255,14
28256,22
28257,1
28258,1
28259,19
28260,16
28261,4
28262,21
28263,2
28264,6
28265,3
28266,4
28267,17
28268,6
28269,2
28270,4
28271,14
28272,0
28273,22
28274,24
28275,13
28276,2
28277,12
28278,14
28279,23
28280,23
28281,16
28282,4
28283,10
28284,24
28285,1
28286,24
28287,0
28288,5
28289,7
28290,23
28291,2
28292,22
28293,23
28294,20
28295,6
28296,21
28297,22
28298,13
28299,18
28300,24
28301,7
28302,16
28303,20
28304,4
28305,19
28306,10
28307,3
28308,8
28309,1
28310,1
28311,3
28312,1
28313,4
28314,0
28315,19
28316,6
28317,15
28318,11
28319,7
28320,13
28321,15
28322,0
28323,10
28324,12
28325,0
28326,7
28327,17
28328,5
28329,14
28330,4
28331,23
28332,1
28333,17
28334,4
28335,20
28336,10
28337,5
28338,4
28339,20
28340,23
28341,4
28342,15
28343,20
28344,10
28345,21
28346,15
28347,22
28348,17
28349,8
28350,7
28351,7
28352,4
28353,1
28354,6
28355,8
28356,22
28357,2
28358,22
28359,1
28360,18
28361,1
28362,14
28363,16
28364,14
28365,2
28366,12
28367,10
28368,5
28369,12
28370,19
28371,1
28372,1
28373,24
28374,13
28375,7
28376,16
28377,22
28378,6
28379,8
28380,18
28381,4
28382,21
28383,19
28384,4
28385,4
28386,6
28387,12
28388,1
28389,15
28390,0
28391,8
28392,0
28393,14
28394,12
28395,7
28396,21
28397,8
28398,13
28399,10
28400,2
28401,1
28402,19
28403,2
28404,18
28405,20
28406,8
28407,10
28408,3
28409,18
28410,0
28411,6
28412,1
28413,11
28414,21
28415,14
28416,16
28417,0
28418,2
28419,23
28420,13
28421,8
28422,24
28423,19
28424,4
28425,18
28426,0
28427,0
28428,6
28429,22
28430,10
28431,1
28432,4
28433,5
28434,7
28435,5
28436,16
28437,4
28438,11
28439,16
28440,0
28441,14
28442,10
28443,2
28444,7
28445,15
28446,12
28447,16
28448,2
28449,22
28450,1
28451,5
28452,18
28453,4
28454,24
28455,23
28456,17
28457,21
28458,6
28459,0
28460,4
28461,5
28462,7
28463,23
28464,23
28465,21
28466,11
28467,2
28468,1
28469,20
28470,18
28471,15
28472,1
28473,5
28474,22
28475,0
28476,21
28477,20
28478,5
28479,22
28480,10
28481,6
28482,7
28483,5
28484,20
28485,20
28486,4
28487,6
28488,12
28489,12
28490,5
28491,18
28492,6
28493,21
28494,4
28495,21
28496,20
28497,10
28498,15
28499,10
28500,0
28501,16
28502,19
28503,1
28504,5
28505,20
28506,21
28507,6
28508,15
28509,23
28510,15
28511,10
28512,1
28513,0
28514,13
28515,0
28516,1
28517,14
28518,5
28519,19
28520,15
28521,2
28522,18
28523,21
28524,10
28525,5
28526,1
28527,15
28528,7
28529,4
28530,2
28531,2
28532,0
28533,23
28534,4
28535,13
28536,4
28537,18
28538,5
28539,20
28540,21
28541,16
28542,0
28543,18
28544,24
28545,18
28546,13
28547,17
28548,4
28549,8
28550,24
28551,24
28552,10
28553,13
28554,4
28555,1
28556,7
28557,16
28558,19
28559,14
28560,11
28561,21
28562,0
28563,10
28564,16
28565,7
28566,24
28567,24
28568,11
28569,1
28570,4
28571,20
28572,7
28573,11
28574,17
28575,4
28576,22
28577,20
28578,0
28579,17
28580,7
28581,15
28582,4
28583,2
28584,4
28585,10
28586,16
28587,15
28588,22
28589,10
28590,19
28591,18
28592,12
28593,0
